Volume Set,Volume,Part Number,E.C.,Card Code,Gate Number,T##,Logic Family,IBM +,IBM -,Logic,Latch,O.C.,Input Lev.,Output Lev.,Defining Pin,A,B,C,D,E,F,G,H,J,K,L,M,N,P,Q,R,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,Name
,,370224,116192,DFA,1,,SDTRL,+A,-O,NAND,G2,,S,,K,,,,,,,,,,K,L,,,O,,,,"I,O",,O,,,,,,,,,MUP NUMBER 12
,,370224,116192,DFA,2,,SDTRL,+A,-O,NAND,G1,,S,,Q,,,,,,,,,,,,,,,Q,R,"I,O",,O,,,,,,,,,,
,,370224,116192,DFA,3,,SDTRL,I,I,NOT,,,S,,B,,O,,,,,,,,,,,,,,,,G2,,,,,,,,,,,
,,370224,116192,DFA,4,,SDTRL,I,I,NOT,,,S,,C,,,O,,,,,,,,,,,,,,G1,,,,,,,,,,,,
,,370224,116192,DFA,5,,SDTRL,+A,-O,NAND,G6,,S,,A,A,,,,,O,G,,,,,,,,,,,,,,,"I,O",,O,,,,,
,,370224,116192,DFA,6,,SDTRL,+A,-O,NAND,G5,,S,,H,,,,,,,,H,,,,,,,,,,,,,"I,O",,O,,,,,,
,,370224,116192,DFA,7,,SDTRL,I,I,NOT,,,S,,E,,,,,O,,,,,,,,,,,,,,,,,G6,,,,,,,
,,370224,116192,DFA,8,,SDTRL,I,I,NOT,,,S,,D,,,,O,,,,,,,,,,,,,,,,,G5,,,,,,,,
,,370225,119217,DFQ,1,,SDTRL,IP,IP,NOT,,,S,Y,B,O,B,,,,,,,,,X,,,,,,,,,,,,,,,,,,INVERTING POWER DRIVER
,,370225,119217,DFQ,2,,SDTRL,IP,IP,NOT,,,S,Y,R,,,X,O,,,,,,,,,,,,R,,,,,,,,,,,,,
,,370225,119217,DFQ,3,,SDTRL,IP,IP,NOT,,,S,Y,Q,,,,,,,,,,,,,,O,Q,,,,,,,,,,,,,,
,,370226,113150,DFR,1,,SDTDL,P,P,EQUAL,,,Y,,H,,,,,,,,H,,,O,,,,,X,,,,,,,,,,,,,SDTDL NON INVERTING POWER DRIVER
,,370226,113150,DFR,2,,SDTDL,P,P,EQUAL,,,Y,,C,O,,C,,,X,,,,,,,,,,,,,,,,,,,,,,,
,,370226,113150,DFR,3,,SDTDL,P,P,EQUAL,,,Y,,D,,X,,D,O,,,,,,,,,,,,,,,,,,,,,,,,
,,370226,113150,DFR,4,,SDTDL,P,P,EQUAL,,,Y,,P,,,,,,,X,,,,,,,P,O,,,,,,,,,,,,,,
,,370227,113625,DFN,1,T14,SDTRL,+A,-O,NAND,G4,,S,,F,,,,,,F,,,,,,,,,,,,G2,O,"I,O",,,,,,,,,SDTRL MUP # 2
,,370227,113625,DFN,2,T15,SDTRL,+A,-O,NAND,,,S,,P,,,,,,,,,,,,,,P,Q,R,O,,,,,,,,,,,,
,,370227,113625,DFN,3,T2,SDTRL,+A,-O,NAND,,,S,,D,,,,O,,,,,,K,,,,,,,G1,,,,,,,,,,,,
,,370227,113625,DFN,4,T13,SDTRL,+A,-O,NAND,G1,,S,,,,,,,,,,,,,L,,,,,,"I,O",,,,,,,,,,,,
,,370227,113625,DFN,5,T5,SDTRL,+A,-O,NAND,,,S,,B,,B,C,,,,,,,,,,,,,R,,,,,,O,,,,,,,
,,370227,113625,DFN,6,T7,SDTRL,+A,-O,NAND,G8,,S,,H,,,,,,,,H,,,,,,,,,,,,,G5,,,"I,O",,,,,
,,370227,113625,DFN,7,T11,SDTRL,+A,-O,NAND,,,S,,A,,,,,,,,,,K,,,,,,,,,,,,G6,,,,,,,
,,370227,113625,DFN,8,T9,SDTRL,+A,-O,NAND,G6,,S,,,,,,,,,,,,,L,,,,,,,,,,,"I,O",,,,,,,
,,370228,121009,DFP,1,T4,SDTRL,+A,-O,NAND,,,S,,G,,,,,,,G,,,,L,,,,,R,,,O,,,,,,,,,,SDTRL MUP NUMBER 20
,,370228,121009,DFP,2,R18,SDTRL,L,L,1K Ohm,,,S,,,,,,,,O,,,,,,-12,,,,,,,,,,,,,,,,,
,,370228,121009,DFP,3,T2,SDTRL,+A,-O,NAND,,OC,S,,D,,,,O,,,,,,,,,,,,,G1,,,G4,,G6,,,,,,,
,,370228,121009,DFP,4,T5,SDTRL,+A,-O,NAND,,,S,,H,,,,,,,,H,,,,,,P,Q,,,,O,,,,,,,,,,
,,370228,121009,DFP,5,T9,SDTRL,I,I,NOT,,,S,,E,,,,,E,,,,,O,,,,,,,,,,,,,,,,,,,
,,370228,121009,DFP,6,T6,SDTRL,+A,-O,NAND,,,S,,A,A,B,C,,,,,,,,,,,,,,,,O,,,,,,,,,,
,,370229,113941,DFM,1,T15,SDTRL,+A,-O,NAND,,,S,,P,,,,,,,,,,,,,,P,Q,R,,O,,,,,,,,,,,SDTRL MUP #1
,,370229,113941,DFM,2,T14,SDTRL,+A,-O,NAND,G5,,S,,,,,,,,,,,,,,,,,,,G1,,,O,"I,O",,,,,,,,
,,370229,113941,DFM,3,T3,SDTRL,+A,-O,NAND,,OC,S,,E,,,,O,E,F,,,,,,,,,,,,,,G4,,,,,,,,,
,,370229,113941,DFM,4,T1,SDTRL,+A,-O,NAND,,,S,,,,,,,,,,,,K,,,,,,,,G2,,,,,,,,,,,
,,370229,113941,DFM,5,T13,SDTRL,+A,-O,NAND,G2,,S,,,,,,,,,,,,,L,,,,,,,"I,O",,,,,,,,,,,
,,370229,113941,DFM,6,T5,SDTRL,+A,-O,NAND,,,S,,B,,B,C,,,,,,,,,,,,,R,,,,,,,,O,,,,,
,,370229,113941,DFM,7,T12,SDTRL,+A,-O,NAND,,OC,S,,G,O,,,,,,G,H,,,,,,,,,,,,,,,,,G9,,,,
,,370229,113941,DFM,8,T7,SDTRL,+A,-O,NAND,G10,,S,,,,,,,,,,,,,,,,,,,,,,,,G6,,,O,"I,O",,,
,,370229,113941,DFM,9,T11,SDTRL,+A,-O,NAND,,,S,,,,,,,,,,,,K,,,,,,,,,,,,,O,G8,,,,,
,,370229,113941,DFM,10,T9,SDTRL,+A,-O,NAND,G8,,S,,,,,,,,,,,,,L,,,,,,,,,,,,,"I,O",,,,,
,,370230,113946,DFL,1,D42,SDTDL,-A,,OR,,,Y,,E,,,,,E,F,,,,,L,,,,,,,O,,,,,,,,,,,SDTDL MUP #2
